"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fubp11",1.66579346735733e-11,0.8000520173593,0.775,0.476,2.3975765375674e-07,"4","Fubp1"
"Csdc2",2.20016534590202e-11,1.85114672541837,0.306,0.093,3.16669798235678e-07,"4","Csdc2"
"Mafb",2.20091451032861e-11,2.41567903536726,0.279,0.082,3.16777625471597e-07,"4","Mafb"
"Aes1",2.44441590154342e-11,0.986978594881721,0.676,0.402,3.51824780709145e-07,"4","Aes"
"Pafah1b31",2.45148847102711e-11,0.750889034792658,0.82,0.541,3.52842735634931e-07,"4","Pafah1b3"
"Fam57b1",2.49729347917247e-11,1.44031870963902,0.387,0.148,3.59435450457294e-07,"4","Fam57b"
"Atp6v0b2",2.59580266952402e-11,1.23529810195507,0.64,0.379,3.73613878224593e-07,"4","Atp6v0b"
"Serf12",2.67789602092834e-11,0.685406909036146,0.865,0.564,3.85429574292216e-07,"4","Serf1"
"Mapre3",2.82372282825862e-11,1.48526384297722,0.342,0.119,4.06418426671263e-07,"4","Mapre3"
"Cirbp1",3.78361083917827e-11,0.746394961622999,0.82,0.539,5.44575108082929e-07,"4","Cirbp"
"Cox5a1",3.83528670767789e-11,0.711114526252412,0.892,0.697,5.52012815836079e-07,"4","Cox5a"
"Auts22",8.47382113012897e-11,0.867371703388606,0.775,0.461,1.21963707525946e-06,"4","Auts2"
"Zfp571",8.7571201556383e-11,1.6510812608232,0.405,0.166,1.26041230400102e-06,"4","Zfp57"
"A330017A19Rik",1.13324867288561e-10,2.70710147362133,0.261,0.077,1.63108481488426e-06,"4","A330017A19Rik"
"Dbn12",1.23861177789331e-10,0.815219245341164,0.775,0.477,1.78273393192184e-06,"4","Dbn1"
"Ski",1.49629238628314e-10,1.93699146834039,0.288,0.09,2.15361363157732e-06,"4","Ski"
"Lrrc71",1.62035183220995e-10,1.90251693410436,0.288,0.09,2.33217239209978e-06,"4","Lrrc7"
"Tia12",1.78687904180344e-10,1.1447096546474,0.721,0.425,2.57185500486768e-06,"4","Tia1"
"Apc",2.19647439171361e-10,2.18476397558971,0.297,0.098,3.1613855919934e-06,"4","Apc"
"Zfp704",3.351706458952e-10,2.02158938083276,0.27,0.082,4.82411110636961e-06,"4","Zfp704"
"6330403K07Rik2",3.40040476737636e-10,0.67277065600768,0.901,0.528,4.8942025816848e-06,"4","6330403K07Rik"
"Smarcc21",3.96818258705633e-10,1.62405458188157,0.351,0.137,5.71140519755018e-06,"4","Smarcc2"
"Matr31",3.98946333345913e-10,0.953061791984888,0.604,0.355,5.74203457584772e-06,"4","Matr3"
"Dclk2",4.27131959621681e-10,2.26049782267757,0.27,0.083,6.14771029483485e-06,"4","Dclk2"
"Ttc32",4.34489783900254e-10,0.795569378513322,0.838,0.555,6.25361145967636e-06,"4","Ttc3"
"Carhsp1",5.30770447426907e-10,1.02941969415606,0.432,0.191,7.63937904981547e-06,"4","Carhsp1"
"Chd32",5.46932509656388e-10,0.797418351206895,0.685,0.39,7.87199961148439e-06,"4","Chd3"
"Macf11",5.55119842874094e-10,1.42147304343516,0.45,0.207,7.98983989848684e-06,"4","Macf1"
"Upf3b1",5.72222509542274e-10,1.18903617107653,0.477,0.232,8.23599857984195e-06,"4","Upf3b"
"Tubb2b1",6.9329891311619e-10,0.477207951643437,1,0.882,9.97865125648132e-06,"4","Tubb2b"
"Rbm392",7.6430985700376e-10,0.699231721593156,0.883,0.589,1.10007117718551e-05,"4","Rbm39"
"Gnao11",8.6880727917487e-10,1.38568217182199,0.414,0.183,1.25047431691639e-05,"4","Gnao1"
"Rufy33",9.05665833809537e-10,1.03687898070298,0.532,0.289,1.30352483460207e-05,"4","Rufy3"
"Srsf112",1.16939263489393e-09,0.701260235145046,0.748,0.49,1.68310681940283e-05,"4","Srsf11"
"Cux11",1.18231521740365e-09,1.30238798639391,0.514,0.278,1.70170629240907e-05,"4","Cux1"
"Kmt2e2",1.20527075146204e-09,1.21424510945743,0.55,0.299,1.73474619257932e-05,"4","Kmt2e"
"Celf21",1.24939602459734e-09,0.647370580043595,0.829,0.509,1.79825569820295e-05,"4","Celf2"
